ObjectId,Country,ISO2,ISO3,Indicator,Code,Unit,F1961,F1962,F1963,F1964,F1965,F1966,F1967,F1968,F1969,F1970,F1971,F1972,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020
111,Latvia,LV,LVA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.575,0.388,0.674,1.61,-0.428,0.75,0.643,1.545,2.004,1.814,1.716,0.242,1.014,1.343,1.071,2.189,2.388,1.502,0.676,1.123,1.378,1.052,2.294,2.143,1.904,1.467,2.327,2.426,3.513
112,Lebanon,LB,LBN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.013,0.801,0.766,-0.714,-0.089,0.702,-0.906,-0.054,0.25,0.417,-0.28,-0.635,-0.522,-0.225,-0.25,-0.666,0.067,0.005,0.681,-0.245,-0.009,-0.523,-0.986,-0.115,-0.046,0.194,-0.291,-0.043,0.079,0.007,0.356,-1.074,-0.492,1.005,0.011,0.363,-0.143,0.95,1.043,0.502,1.105,0.792,0.604,0.629,0.265,0.696,0.693,0.957,0.829,2.308,0.609,0.977,1.183,1.01,1.413,1.695,1.107,2.202,1.467,1.711
113,"Lesotho, Kingdom of",LS,LSO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.378,0.281,0.031,0.005,-0.079,0.238,-0.103,-0.367,0.494,0.492,-0.024,-0.111,0.115,-0.113,-0.157,-0.427,0.302,0.14,0.346,0.209,-0.267,0.313,1.045,0.38,0.821,0.529,0.618,0.494,0.022,0.364,0.524,0.969,1.016,0.09,0.709,-0.233,0.214,0.887,1.208,0.305,0.558,0.485,0.662,0.707,0.75,0.023,0.574,0.31,0.316,1.06,0.185,0.559,0.557,0.635,1.135,1.792,0.826,0.717,1.557,0.667
114,Liberia,LR,LBR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.114,-0.108,0.123,-0.149,-0.27,0.055,-0.145,-0.071,0.157,0.292,-0.12,0.053,0.534,0.054,-0.082,-0.177,0.261,0.259,0.556,0.421,0.175,0.241,0.504,0.373,0.293,0.182,0.959,0.835,0.372,0.591,0.531,0.264,0.542,0.592,0.75,0.677,0.985,1.26,0.747,0.505,0.691,1.033,1.056,0.921,1.127,1.149,1.071,1.226,1.418,1.447,1.119,0.894,1.008,0.963,1.33,1.523,1.538,1.367,1.552,1.63
115,Libya,LY,LBY,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.484,0.167,0.198,-0.087,-0.105,0.212,-0.6,-0.043,0.755,-0.22,-0.233,0.137,-0.239,-0.114,-0.369,-0.426,0.349,-0.188,0.267,-0.038,0.039,0.062,-0.392,-0.143,0.016,0.147,-0.059,0.933,-0.08,0.543,0.226,-0.41,0.279,0.415,0.26,0.448,0.401,0.693,1.184,0.237,1.218,0.825,0.859,0.654,0.63,0.72,0.842,0.87,0.756,2.068,0.752,0.677,1.122,1.202,0.692,1.504,0.471,1.695,0.968,1.28
116,Liechtenstein,LI,LIE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,1.056,-0.478,-0.771,0.056,-0.835,0.411,0.545,0.013,-0.015,-0.553,-0.08,0.08,-0.019,0.184,0.692,0.303,0.276,-0.351,-0.079,-0.163,0.045,0.546,0.945,-0.366,-0.33,0.392,-0.034,0.942,1.101,1.322,0.197,1.101,0.647,1.939,0.911,-0.022,0.954,1.212,0.977,1.462,1.445,1.395,1.686,0.921,0.69,0.987,1.964,1.421,1.435,0.507,1.677,1.635,0.952,2.254,2.073,2.057,1.829,2.333,2.148,2.423
117,Lithuania,LT,LTU,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,0.303,0.953,1.521,-0.512,0.526,0.747,1.494,2.03,1.809,1.92,0.189,0.886,1.21,0.926,2.2,2.225,1.394,0.756,0.949,1.357,0.96,2.23,2.096,1.94,1.535,2.423,2.638,3.43
118,Luxembourg,LU,LUX,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.648,1.43,1.391,1.694,1.016,1.131,1.358,1.943,1.28,1.185,0.321,1.338,1.26,0.57,2.462,1.516,1.864,1.639,2.46,2.151,2.633
119,"Madagascar, Rep. of",MG,MDG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.562,-0.07,-0.305,-0.396,-0.583,-0.06,0.311,-0.413,0.416,0.25,-0.249,-0.074,0.112,-0.321,-0.282,-0.013,0.345,0.457,0.222,0.288,0.059,0.259,0.387,-0.133,0.054,-0.079,0.482,0.538,0.01,0.056,0.311,0.369,0.204,0.323,0.347,0.128,0.607,0.778,0.425,0.429,0.593,0.569,0.628,0.384,0.634,0.806,0.707,0.527,0.919,1.198,1.166,0.841,0.696,0.821,1.171,1.12,1.442,1.115,1.696,1.359
120,Malawi,MW,MWI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.366,-0.143,-0.428,-0.295,-0.547,0.145,0.123,-0.275,0.342,0.241,-0.27,-0.027,0.234,-0.28,-0.153,-0.07,0.488,0.236,0.124,0.221,-0.227,-0.116,0.85,0.228,-0.077,-0.006,0.519,0.599,0.073,0.546,0.091,0.653,0.005,0.215,0.74,0.496,0.656,0.937,0.163,0.697,0.587,0.684,0.937,0.871,1.34,1.05,1.054,0.482,0.696,0.966,0.629,0.865,0.788,1.055,0.991,1.31,1.22,1.039,1.225,1.361
