ObjectId,Country,ISO2,ISO3,Indicator,Code,Unit,F1961,F1962,F1963,F1964,F1965,F1966,F1967,F1968,F1969,F1970,F1971,F1972,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020
177,Seychelles,SC,SYC,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.233,0.01,-0.125,-0.162,-0.466,0.143,0.104,-0.076,0.281,0.392,-0.423,-0.251,0.168,-0.496,-0.298,-0.211,0.228,0.343,0.213,0.273,0.236,0.449,0.553,-0.227,-0.046,0.312,0.571,0.489,-0.021,0.324,0.486,0.235,0.283,0.572,0.496,0.177,0.661,1.02,0.31,0.419,0.762,0.534,0.723,0.456,0.699,0.664,1.031,0.706,1.048,1.263,1.178,1.12,0.987,1.161,1.479,1.425,1.516,1.248,1.708,1.765
178,Sierra Leone,SL,SLE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.09,-0.091,0.183,-0.143,-0.277,0.012,-0.112,-0.044,0.284,0.343,-0.149,0.148,0.509,0.006,-0.094,-0.195,0.203,0.253,0.54,0.396,0.237,0.305,0.539,0.368,0.283,-0.061,0.761,0.652,0.206,0.555,0.725,0.313,0.621,0.619,0.738,0.786,0.887,1.082,0.846,,1.258,1.419,1.298,1.585,1.603,1.554,1.262,1.741,1.393,1.827,1.471,0.83,1.473,1.577,1.615,1.531,2.227,1.714,2.084,1.988
179,Singapore,SG,SGP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.079,-0.128,-0.037,-0.009,-0.263,0.048,-0.159,-0.23,0.292,0.083,-0.164,0.126,0.084,-0.191,-0.069,0.149,0.178,0.236,0.265,0.411,0.388,0.195,0.688,-0.19,0.258,0.151,0.447,0.445,0.234,0.623,0.369,0.343,0.376,0.609,0.571,0.21,0.776,1.169,0.521,0.59,0.601,0.796,0.834,0.823,1.037,0.73,0.694,0.571,1.022,1.256,0.842,1.177,1.194,1.194,1.459,1.889,1.385,1.375,2.042,1.563
180,Slovak Rep.,SK,SVK,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,1.699,0.704,-0.399,-0.239,1.039,0.789,1.65,1.267,1.407,0.682,0.58,0.428,0.65,2.169,1.542,1.511,0.703,0.856,1.587,0.966,2.35,2.135,1.962,1.29,2.578,2.463,2.071
181,"Slovenia, Rep. of",SI,SVN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.194,0.601,1.916,0.846,-0.069,0.512,1.408,0.912,1.832,1.761,1.556,1.482,0.785,0.535,0.923,2.223,1.63,1.687,0.827,1.409,1.987,1.286,2.493,2.192,2.111,1.789,2.486,2.427,2.316
182,Solomon Islands,SB,SLB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.208,0.159,-0.009,0.178,-0.423,-0.086,-0.094,-0.096,0.286,0.194,-0.077,-0.278,0.252,0.156,0.104,-0.244,-0.054,0.137,-0.028,-0.088,0.192,-0.35,0.065,-0.023,-0.096,-0.087,-0.406,0.256,-0.218,0.15,-0.114,-0.05,-0.326,-0.227,0.359,0.123,0.021,0.408,-0.006,0.343,,,0.354,0.415,0.516,0.34,0.583,,0.05,0.294,0.089,0.038,0.582,0.642,0.422,0.664,0.456,0.481,0.427,0.419
183,Somalia,SO,SOM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.306,-0.041,-0.224,0.032,-0.373,0.188,-0.086,-0.58,0.029,0.067,-0.271,0.256,0.561,-0.01,0.128,0.229,0.37,0.248,0.091,0.789,0.01,0.371,0.659,0.141,0.224,0.294,1.075,0.94,0.134,0.347,0.44,0.751,0.368,0.729,0.672,0.862,0.687,0.854,0.574,0.617,1.041,1.038,1.225,0.633,1.19,0.976,1.058,0.673,1.404,1.154,1.2,1.139,1.238,1.275,1.629,1.438,1.8,0.836,1.747,2.037
184,South Africa,ZA,ZAF,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.241,0.205,0.178,-0.075,-0.027,0.245,-0.07,-0.373,0.291,0.363,-0.157,0.106,0.346,-0.254,-0.144,-0.512,0.174,0.07,0.33,0.251,-0.316,0.225,0.718,0.544,0.666,0.464,0.743,0.336,-0.028,0.328,0.368,0.802,0.838,0.218,0.644,-0.133,0.249,0.846,1.09,0.27,0.515,0.453,0.834,0.938,1.097,0.439,0.821,0.726,0.801,1.226,0.556,0.657,0.763,0.906,1.415,1.669,1.151,1.083,1.826,0.867
185,"South Sudan, Rep. of",SS,SSD,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.399,1.318,1.375,0.981,1.198,1.312,1.37,1.228,1.031,0.663
186,Spain,ES,ESP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.725,0.411,-0.227,0.476,-0.201,0.396,0.134,0.075,-0.31,0.123,-0.743,-0.827,-0.161,-0.431,-0.084,-0.36,-0.153,0.114,0.295,0.208,0.372,0.742,0.583,-0.13,0.518,0.292,0.758,0.833,1.076,1.488,0.251,0.352,-0.012,1.081,1.474,0.743,1.553,1.208,0.837,0.837,1.44,0.842,1.626,1.022,0.906,1.541,0.847,0.873,1.36,0.912,1.623,1.067,0.918,1.616,1.528,1.713,2.033,1.141,1.507,2.021
187,Sri Lanka,LK,LKA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.127,-0.101,-0.036,0.068,-0.149,0.216,-0.101,-0.072,0.226,0.125,-0.339,-0.111,0.406,-0.265,-0.177,-0.056,0.105,0.158,0.406,0.484,0.276,0.276,0.781,0.104,0.215,0.331,0.83,0.844,0.339,0.672,0.61,0.307,0.304,0.365,0.68,0.505,0.668,1.296,0.451,0.582,0.823,0.972,0.891,0.804,0.869,0.655,0.654,0.541,0.649,1.01,0.689,0.881,0.872,0.954,0.948,1.328,1.051,0.782,1.232,1.296
188,St. Kitts and Nevis,KN,KNA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.005,0.015,0.252,0.101,-0.409,0.167,-0.152,-0.276,0.263,0.063,-0.294,-0.19,0.221,-0.349,-0.4,-0.472,0.157,0.135,0.128,0.663,0.567,0.19,0.474,-0.023,-0.089,-0.077,0.583,0.322,-0.177,0.241,0.318,0.276,0.364,0.373,0.522,0.274,0.431,0.992,0.439,0.186,,0.499,0.65,0.331,0.651,0.382,0.637,0.085,0.322,0.961,0.382,0.484,0.556,0.487,0.811,0.889,0.665,0.506,0.763,1.098
189,St. Lucia,LC,LCA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.05,0.107,0.247,-0.014,-0.258,0.006,-0.274,-0.221,0.41,0.171,-0.26,-0.086,0.085,-0.431,-0.453,-0.326,0.006,0.136,0.241,0.358,0.37,0.119,0.396,-0.017,-0.217,-0.052,0.532,0.432,-0.036,0.21,0.313,0.274,0.363,0.429,0.558,0.343,0.46,0.982,0.415,0.181,0.418,0.477,0.711,0.398,0.804,0.609,0.594,0.29,0.4,1.078,0.558,0.516,0.595,0.479,0.725,0.884,0.693,0.387,0.618,0.836
190,St. Vincent and the Grenadines,VC,VCT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.115,0.055,0.285,-0.08,-0.232,0.018,-0.283,-0.19,0.448,0.23,-0.348,-0.151,0.061,-0.465,-0.419,-0.151,-0.018,0.134,0.337,0.292,0.364,0.131,0.407,0.016,-0.376,-0.095,0.509,0.529,-0.082,0.136,0.273,0.306,0.364,0.38,0.596,0.341,0.435,0.987,0.442,0.236,0.465,0.424,0.751,0.344,0.86,0.578,0.521,0.387,0.4,1.13,0.652,0.49,0.592,0.51,0.705,0.804,0.739,0.333,0.554,0.814
191,Sudan,SD,SDN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,1.144,1.252,1.039,1.582,1.281,1.311,1.331,0.99,0.61
192,Suriname,SR,SUR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.088,-0.105,-0.03,-0.047,-0.009,0.201,-0.203,-0.191,0.563,0.281,-0.494,-0.074,0.119,-0.324,-0.31,-0.079,0.17,0.096,0.155,0.286,0.314,0.19,0.512,-0.165,-0.004,0.103,0.703,0.536,0.147,0.342,0.359,0.632,0.428,0.513,1.017,0.492,0.767,1.382,0.554,0.613,0.598,0.935,0.994,0.996,1.395,1.058,1.153,1.224,1.562,1.627,1.172,1.271,1.61,1.666,1.736,2.217,1.874,1.685,1.966,2.143
193,Sweden,SE,SWE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,1.577,-0.687,-0.46,0.388,-0.22,-1.664,0.836,-0.923,-0.2,-1.09,0.036,0.799,1.156,0.945,1.585,-0.1,-0.454,-0.064,-1.082,-0.559,-0.217,-0.123,0.921,0.596,-1.02,-0.479,-1.187,0.743,2.012,1.708,1.041,1.39,0.828,0.213,1.28,-0.145,1.002,0.581,1.38,1.739,1.087,1.583,0.932,1.217,1.843,1.504,1.952,1.977,1.45,-0.263,1.292,1.334,0.874,2.717,2.088,1.855,1.598,1.853,1.576,2.938
194,Switzerland,CH,CHE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.994,-0.351,-0.861,0.143,-0.785,0.47,0.557,-0.06,-0.08,-0.488,-0.076,-0.065,-0.059,0.086,0.618,0.363,0.168,-0.366,-0.073,-0.206,-0.026,0.569,0.859,-0.337,-0.334,0.237,-0.014,0.909,1.133,1.412,0.318,0.953,0.549,1.846,0.993,0.025,1.058,1.103,0.97,1.411,1.44,1.252,1.845,0.973,0.809,1.094,1.812,1.204,1.378,0.459,1.666,1.509,0.779,2.15,1.956,1.84,1.818,2.334,2.095,2.503
195,Syrian Arab Rep.,SY,SYR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.017,0.99,0.562,-0.683,-0.165,0.934,-1.006,-0.178,0.166,0.648,-0.177,-0.921,-0.435,-0.211,-0.211,-0.866,0.153,0.137,0.887,-0.21,0.105,-0.576,-0.894,-0.04,-0.072,0.36,-0.225,-0.255,0.318,0.128,0.44,-1.16,-0.607,1.24,0.128,0.43,-0.145,1.12,1.239,0.633,1.128,0.833,0.51,0.614,0.21,0.996,0.77,1.005,0.641,2.441,0.624,1.01,1.344,1.215,1.36,1.857,1.224,2.462,1.652,1.984
196,Taiwan Province of China,TW,TWN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.157,-0.156,-0.208,0.256,-0.139,0.296,0.098,-0.928,0.016,-0.327,-0.225,-0.153,0.494,-0.356,0.24,-0.545,0.226,0.033,0.067,0.258,-0.045,-0.115,0.297,-0.517,-0.027,-0.232,0.349,0.292,0.048,0.341,0.554,-0.119,0.326,0.303,0.126,-0.056,0.065,1.121,0.662,0.335,0.739,0.896,0.839,0.403,0.622,0.673,0.739,0.528,0.713,0.455,-0.02,0.261,0.565,0.678,0.703,0.99,1.324,1.074,1.269,1.891
197,"Tajikistan, Rep. of",TJ,TJK,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.282,-0.162,0.421,0.319,-0.415,1.059,0.494,1.023,0.945,1.458,1.227,0.619,1.262,0.778,1.448,1.164,0.893,0.765,1.292,1.417,-0.048,1.244,0.489,1.246,1.768,1.336,1.662,1.341,1.025
198,"Tanzania, United Rep. of",TZ,TZA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.356,-0.272,-0.289,-0.402,-0.214,0.079,0.059,-0.444,0.375,0.222,-0.262,0.031,0.358,-0.112,-0.012,0.002,0.319,0.079,-0.156,0.385,0.3,0.334,0.612,0.008,-0.044,0.077,0.532,0.607,-0.165,0.118,0.253,0.257,-0.016,0.338,0.268,0.149,0.519,0.445,-0.31,0.454,0.355,0.584,0.983,0.857,1.05,0.905,0.802,0.509,0.944,1.111,0.837,0.945,1.012,1.028,1.278,1.127,1.577,1.099,1.468,1.175
199,Thailand,TH,THA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.155,-0.151,-0.322,-0.033,-0.222,0.408,-0.039,-0.115,0.46,0.004,-0.479,0.03,0.361,-0.468,0.088,-0.515,0.088,0.27,0.575,0.503,0.314,0.146,0.435,0.088,0.286,0.071,0.76,0.284,0.322,0.529,0.669,0.387,0.33,0.377,0.698,0.26,0.426,1.463,0.429,0.076,0.68,0.673,0.803,0.549,0.887,0.685,0.557,0.416,0.524,1.316,0.281,0.934,1.123,0.709,1.209,1.461,1.011,0.822,1.749,1.515
200,"Timor-Leste, Dem. Rep. of",TL,TLS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.444,-0.081,-0.702,-0.242,,0.163,-0.28,0.114,0.264,0.425,0.226,-0.068,0.756,-0.316,,,0.427,0.874,0.392,0.456,0.8,-0.347,0.427,0.158,0.577,0.205,,,,-0.681,,,,,0.309,0.295,0.022,0.909,0.044,,,,0.396,0.46,1.126,0.177,0.472,0.21,0.608,0.845,-0.067,,0.468,0.552,0.627,1.556,0.858,,0.664,1.452
201,Togo,TG,TGO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.05,-0.145,0.101,-0.129,-0.051,0.074,-0.215,-0.102,0.298,0.327,-0.164,0.16,0.582,-0.066,-0.28,-0.321,0.334,-0.071,0.437,0.422,0.171,0.174,0.675,0.576,0.393,0.246,0.99,0.639,0.108,0.639,0.277,0.082,0.495,0.482,0.552,0.665,0.57,1.095,0.587,0.54,0.675,0.738,1.043,0.771,0.992,1.024,0.926,0.772,0.937,1.316,0.923,0.628,0.821,0.935,1.197,1.257,1.351,1.179,1.335,1.233
202,Tokelau,TK,TKL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.043,0.114,0.16,-0.27,-0.08,0.042,-0.305,-0.218,0.127,-0.394,-0.377,0.09,0.086,-0.329,-0.35,0.126,0.19,0.183,0.552,0.346,0.282,0.332,0.193,0.104,0.241,0.313,0.425,0.135,0.106,0.528,1.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Tonga,TO,TON,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.38,-0.132,-0.229,0.295,-0.546,-0.348,-0.142,0.072,-0.138,0.311,0.128,-0.101,0.326,-0.016,-0.048,-0.297,-0.135,0.054,0.098,0.062,-0.001,0.043,-0.054,0.172,0.084,-0.136,-0.19,0.616,0.251,0.142,0.098,-0.017,-0.272,0.035,0.357,0.281,0.209,0.323,0.24,0.393,0.658,0.816,0.551,0.644,0.754,0.539,0.81,0.281,0.346,0.889,0.616,0.681,0.819,0.742,0.789,1.313,1.106,1.048,1.63,1.424
204,Trinidad and Tobago,TT,TTO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.183,-0.128,0.275,-0.097,-0.184,0.113,-0.14,-0.218,0.456,0.275,-0.35,-0.136,0.132,-0.321,-0.321,-0.118,0.058,0.172,0.313,0.404,0.379,0.14,0.364,-0.011,-0.474,-0.205,0.548,0.367,-0.234,0.084,0.211,0.242,0.51,0.316,0.592,0.382,0.439,0.986,0.513,0.353,0.504,0.364,0.678,0.316,0.982,0.499,0.393,0.319,0.503,1.221,0.55,0.508,0.65,0.608,0.75,0.841,1.002,0.349,0.867,1.066
205,Tunisia,TN,TUN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.196,0.094,-0.121,0.297,-0.148,0.521,0.055,0.072,0.13,-0.148,-0.103,-0.209,-0.046,-0.266,-0.282,-0.671,0.668,-0.315,0.462,-0.138,0.146,0.872,0.28,-0.069,0.446,0.489,0.655,1.367,0.526,1.468,0.007,0.057,0.695,1.378,0.687,0.649,1.305,1.042,1.799,1.068,2.039,1.303,1.752,0.971,1.091,1.304,1.417,1.405,0.894,1.795,1.068,1.626,1.449,1.838,1.168,1.863,1.333,1.455,1.286,1.948
206,Turkey,TR,TUR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.197,1.057,0.504,-0.699,-0.322,1.433,-0.822,-0.022,-0.063,0.857,0.042,-0.73,-0.489,-0.335,-0.133,-1.163,0.184,-0.062,0.905,-0.101,0.392,-0.232,-0.459,0.33,-0.078,0.419,-0.398,-0.307,0.34,-0.067,0.218,-1.244,-0.82,1.204,0.147,0.274,-0.005,1.003,1.232,0.516,1.512,0.784,0.288,0.571,0.411,0.862,0.953,0.813,0.649,2.342,0.365,0.94,1.34,1.321,0.811,1.575,0.768,2.629,1.695,1.912
207,Turkmenistan,TM,TKM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.095,-0.192,0.264,1.378,-0.067,1.357,0.949,1.287,1.289,1.515,1.759,0.042,1.643,1.288,1.683,1.103,0.73,1.081,1.906,1.096,0.804,1.657,0.727,1.415,2.003,1.685,1.537,1.872,1.584
208,Turks and Caicos Islands,TC,TCA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.079,-0.227,0.045,0.254,-0.312,0.252,,,,,0.101,0.04,0.312,0.144,0.462,-0.146,0.389,0.843,0.187,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Tuvalu,TV,TUV,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.045,0.11,-0.006,-0.003,-0.304,0.014,-0.226,-0.227,0.211,-0.043,-0.298,-0.162,0.105,-0.387,-0.164,-0.095,-0.138,-0.018,0.163,0.209,0.062,-0.071,-0.141,-0.007,0.109,0.342,-0.114,-0.028,-0.242,0.103,0.428,0.114,-0.089,0.408,0.383,0.281,0.329,0.112,0.31,0.418,0.684,0.708,0.483,0.56,0.71,0.561,0.656,0.278,0.569,0.83,0.708,0.514,0.585,0.548,0.7,0.825,0.915,0.877,0.98,1.098
210,Uganda,UG,UGA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.013,-0.271,-0.184,-0.238,-0.126,-0.02,-0.1,-0.281,0.102,-0.02,-0.187,0.079,0.353,-0.128,-0.049,-0.01,0.156,0.061,0.391,0.635,0.443,0.46,0.714,0.265,0.13,0.292,0.691,0.524,-0.019,0.329,0.272,0.312,0.227,0.243,0.475,0.373,0.64,0.473,-0.062,0.41,0.341,0.736,0.793,0.71,1.354,1.028,0.424,0.603,1.178,1.227,0.844,0.914,0.92,0.911,0.977,1.064,1.449,0.779,1.292,0.934
211,Ukraine,UA,UKR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463,-0.735,1.153,0.946,-0.42,-0.342,0.731,1.16,1.424,1.795,1.54,-0.269,0.924,1.031,0.28,2.393,1.634,1.622,1.661,0.587,1.956,1.519,1.713,2.085,2.128,1.436,2.252,2.38,3.032
212,United Arab Emirates,AE,ARE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.22,0.554,0.274,-0.37,0.119,0.191,-0.2,-0.757,0.392,0.256,-0.293,-0.435,0.017,-0.212,-0.296,-0.542,0.421,0.064,0.496,0.469,0.31,-0.259,-0.614,-0.128,0.238,0.3,0.266,0.312,-0.212,0.355,-0.164,-0.492,0.137,0.566,0.023,0.478,-0.148,1.16,1.461,0.835,0.702,1.231,1.095,1.037,0.733,1.27,0.848,0.819,0.926,1.581,1.251,1.179,0.863,1.008,1.627,1.148,1.654,1.593,1.266,1.302
213,United Kingdom,GB,GBR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.495,-0.731,-0.867,0.026,-0.574,-0.137,0.218,-0.068,-0.212,-0.077,0.249,-0.059,0.199,-0.066,0.599,0.724,-0.328,0.062,-0.792,-0.033,0.162,0.104,0.337,0.326,-0.532,-0.603,-0.293,0.296,1.129,0.998,0.193,0.506,-0.028,0.402,1.111,-0.149,0.875,0.855,1.127,0.716,0.626,1.007,1.188,1.03,1.114,1.244,1.327,0.832,0.945,-0.063,0.84,0.571,0.367,1.717,0.61,1.165,1.43,1.013,1.248,1.392
214,United States,US,USA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.006,-0.019,0.42,-0.28,-0.354,-0.21,0.078,-0.074,-0.267,-0.03,-0.417,-0.248,-0.015,0.081,-0.386,-0.125,0.391,0.029,-0.308,0.405,0.864,-0.342,0.532,-0.231,-0.026,0.577,0.904,0.463,0.319,0.668,0.522,0.394,0.007,0.465,0.629,-0.009,0.391,1.268,0.755,1,0.784,0.953,0.992,0.866,1.157,1.028,1.147,0.215,0.399,0.694,0.539,1.451,0.618,0.504,1.534,2.229,1.437,1.278,1.04,1.331
215,United States Virgin Islands,VI,VIR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.072,-0.019,0.146,0.147,-0.286,-0.038,-0.288,-0.34,0.34,0.035,-0.343,-0.102,0.165,-0.377,-0.29,-0.42,0.172,0.106,-0.09,0.681,0.484,0.026,0.499,0.124,-0.048,0.005,0.452,0.426,-0.071,0.303,0.208,0.129,0.366,0.489,0.451,0.209,0.38,0.981,0.486,0.058,0.508,0.669,0.758,0.42,0.667,0.52,0.778,0.256,0.527,0.924,0.305,0.535,0.618,0.74,0.944,1.048,0.755,0.571,0.775,1.216
216,Uruguay,UY,URY,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.428,-0.45,0.314,-0.78,0.16,-0.446,-0.015,0.355,0.111,0.358,-0.362,0.212,-0.159,-0.075,-0.01,-0.368,0.463,0.075,0.087,0.538,0.489,0.549,-0.082,0.074,0.397,0.724,0.297,-0.525,0.723,0.564,0.323,0.161,0.29,0.459,0.315,0.504,1.153,0.168,0.129,0.402,1.312,0.673,0.375,0.53,0.854,0.639,0.19,0.795,0.591,0.344,0.528,0.933,0.229,1.249,1.133,0.417,1.667,1.327,0.913,1.109
217,"Uzbekistan, Rep. of",UZ,UZB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,-0.222,-0.03,1.386,-0.452,1.531,0.491,1.304,1.386,1.552,1.82,0.132,1.912,1.356,1.549,1.359,0.691,1.057,1.776,1.038,0.668,1.514,0.165,1.386,2.262,1.751,0.998,1.893,1.67
218,Vanuatu,VU,VUT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.211,0.122,-0.145,0.23,-0.535,-0.227,-0.113,-0.277,0.019,0.307,-0.005,-0.315,0.54,0.316,0.298,0.029,-0.077,0.005,-0.041,-0.049,-0.049,-0.099,0.141,-0.048,0.339,-0.254,-0.325,0.534,-0.035,0.267,-0.075,-0.093,-0.405,-0.12,0.268,0.376,0.167,0.817,1.005,0.842,0.575,0.554,0.342,0.457,0.546,0.413,0.827,0.739,0.453,0.866,0.705,0.394,0.702,0.59,0.576,1.123,1.02,0.364,0.691,1
219,"Venezuela, Rep. Bolivariana de",VE,VEN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.106,-0.093,0.011,0.071,-0.114,0.224,-0.226,-0.174,0.542,0.172,-0.419,-0.073,0.26,-0.315,-0.336,-0.419,0.229,0.157,0.241,0.402,0.258,0.12,0.533,-0.039,-0.384,-0.152,0.466,0.127,-0.288,0.34,0.335,0.317,0.359,0.144,0.518,0.35,0.36,0.853,0.191,0.082,0.428,0.432,0.853,0.508,0.664,0.495,0.549,0.384,0.675,1.058,0.407,0.331,0.736,0.755,1.022,0.988,0.625,0.73,1.054,1.184
220,Vietnam,VN,VNM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.022,-0.234,-0.311,0.079,-0.025,0.481,-0.127,-0.308,0.529,-0.072,-0.48,-0.002,0.473,-0.375,0.18,-0.552,-0.043,0.103,0.381,0.333,0.474,0.17,0.035,-0.161,-0.06,0.045,1,0.14,-0.007,0.351,0.554,0.03,0.283,0.294,0.354,-0.009,0.303,1.304,0.788,0.178,0.716,0.72,1.054,0.413,0.861,0.912,0.532,0.226,0.701,1.115,0.145,0.77,0.927,0.539,1.216,1.164,1.118,0.822,1.776,1.506
221,Wallis and Futuna Islands,WF,WLF,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.345,-0.029,0.147,0.199,-0.4,0.059,-0.244,-0.083,-0.189,0.071,-0.031,-0.106,0.374,0.138,-0.011,-0.107,-0.129,-0.039,0.117,0.099,0.051,-0.016,-0.052,-0.066,0.021,-0.089,-0.03,0.31,0.026,0.093,0.011,-0.153,-0.449,-0.273,0.347,0.396,0.169,0.493,0.372,0.464,0.677,0.784,0.582,0.547,0.675,0.555,0.806,0.292,0.306,0.859,0.718,0.634,0.712,0.687,0.7,1.279,1.081,0.896,1.284,1.256
222,West Bank and Gaza,PS,PSE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.136,0.757,0.838,-0.617,-0.005,0.635,-0.905,-0.065,0.27,0.238,-0.334,-0.487,-0.474,-0.256,-0.418,-0.585,-0.016,-0.099,0.578,-0.233,-0.25,-0.596,-1.105,-0.243,-0.018,0.004,-0.38,-0.055,-0.244,-0.181,0.325,-1.121,-0.446,0.722,-0.246,0.252,-0.227,0.775,0.773,0.15,0.764,0.642,0.472,0.47,0.107,0.49,0.426,0.629,0.733,2.225,0.47,0.927,1.013,0.754,1.226,1.528,0.639,1.875,1.052,1.302
