ObjectId,Country,ISO2,ISO3,Indicator,Unit,Date,Value
164,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M06,-0.0062133026810351
165,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M07,321.21
166,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M07,0.240294594931956
167,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M08,318.87
168,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M08,0.0564812199943532
169,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M09,317.81
170,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M09,0.350489422166089
171,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M10,317.3
172,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M10,0.135702338498445
173,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M11,318.87
174,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M11,0.37459078317803
175,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M12,319.42
176,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M12,0.222773053873437
177,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M01,320.62
178,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M01,0.369396443776604
179,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M02,321.6
180,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M02,0.362002246910498
181,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M03,322.39
182,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M03,0.467449904951844
183,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M04,323.7
184,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M04,0.484261501210659
185,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M05,324.08
186,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M05,0.592854704038226
187,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M06,323.75
188,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M06,0.584086743095047
189,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M07,322.38
190,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M07,0.364247688428132
191,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M08,320.36
192,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M08,0.467275065073536
193,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M09,318.64
194,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M09,0.261162329693843
195,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M10,318.1
196,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M10,0.252127324298779
197,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M11,319.78
198,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M11,0.285382757863695
199,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M12,321.03
200,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M12,0.50403856990795
201,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M01,322.33
202,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M01,0.533341650552055
203,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M02,322.5
204,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M02,0.279850746268639
205,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M03,323.04
206,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M03,0.201619156921762
207,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M04,324.42
208,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M04,0.222428174235412
209,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M05,325
210,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M05,0.283880523327573
211,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M06,324.09
212,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M06,0.105019305019294
213,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M07,322.54
214,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M07,0.0496308704013959
215,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M08,320.92
216,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M08,0.174803346235475
217,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M09,319.25
218,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M09,0.191438614109973
219,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M10,319.39
220,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M10,0.405532851304602
221,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M11,320.73
222,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M11,0.297079241978881
223,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M12,321.96
224,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M12,0.289692552097942
225,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M01,322.57
226,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M01,0.0744578537523743
227,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M02,323.15
228,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M02,0.201550387596883
229,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M03,323.89
230,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M03,0.263125309559187
231,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M04,325.02
232,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M04,0.184945441094864
233,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M05,325.57
234,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M05,0.175384615384622
235,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M06,325.36
236,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M06,0.391866456848411
237,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M07,324.14
238,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M07,0.496062503875483
239,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M08,322.11
240,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M08,0.370808924342514
241,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M09,320.33
242,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M09,0.338292873923263
